Cake_Flavor,Flour_Quantity (g),Sugar_Content (g),Butter_Quantity (g),Egg_Count,Milk_Quantity (ml),Oven_Temperature (°C),Baking_Time (min),Mixing_Time (min),Cooling_Time (min),Decoration_Time (min),Oven_Type,Frosting_Type,Ingredient_Source,Production_Cost (₹),Temperature_Humidity (%),Ingredient_Quality_Score,Baker_Experience (years),Customer_Rating,Production_Date,Cake_Quality
Butterscotch,352.7 g,190.0 g,168.1,3.0,204.7,181.0 °C,25.2,8.8,10.5,7.3,Gas,Ganache,Mixed,353.0,63.2 %,8.2,4,4.2,2025-08-10,Good
Chocolate,236.3 g,207.8 g,141.7,5.0,191.0,202.2 °C,46.5,7.5,14.3,14.4,Electric,Fondant,Local,440.3,48.9 %,7.3,8,3.5,2025-04-16,Good
Vanilla,357.2 g,216.5 g,136.6,4.0,151.5,213.0 °C,43.6,8.1,24.5,12.7,Gas,Whipped Cream,Local,280.3,51.4 %,6.0,10,4.3,2024-08-17,Average
Pineapple,266.2 g,190.2 g,129.0,1.0,224.7,213.2 °C,40.1,11.5,17.3,10.6,Electric,Fondant,Local,312.1,49.6 %,6.2,12,4.5,2023-10-13,Average
Vanilla,265.7 g,172.7 g,119.9,2.0,261.0,167.0 °C,35.6,5.6,13.2,7.0,Electric,Buttercream,Local,189.7,64.2 %,6.1,9,4.2,2023-09-27,Average
Chocolate,284.8 g,175.6 g,145.0,1.0,156.9,191.1 °C,27.0,7.5,15.5,8.7,Gas,Buttercream,Local,191.3,54.7 %,8.4,1,3.3,2024-11-30,Good
Red Velvet,256.5 g,201.5 g,135.2,3.0,159.4,213.5 °C,38.7,8.8,15.1,12.4,Gas,Whipped Cream,Imported,366.1,51.0 %,8.8,10,3.0,2024-12-10,Good
Vanilla,275.5 g,219.2 g,147.1,2.0,180.5,183.9 °C,27.7,11.7,21.8,8.3,Electric,Fondant,Imported,264.5,54.0 %,8.3,4,3.5,2023-05-17,Good
,255.4 g,223.0 g,147.6,1.0,209.8,194.7 °C,43.3,8.3,6.5,8.8,Gas,Whipped Cream,Local,338.7,51.9 %,7.0,4,4.9,2023-01-13,Good
White Forest,256.4 g,199.0 g,219.2,,225.4,205.8 °C,24.9,7.6,13.8,6.0,Gas,Ganache,Imported,524.1,49.1 %,6.7,11,3.9,2025-09-21,Average
,295.8 g,,166.8,1.0,167.5,199.3 °C,35.0,8.8,12.2,14.1,Gas,Fondant,Imported,408.0,49.9 %,8.4,4,4.6,2024-05-06,Good
Butterscotch,251.0 g,250.3 g,149.6,2.0,182.8,206.5 °C,40.2,14.2,16.0,7.4,Gas,Buttercream,Mixed,257.7,65.4 %,7.1,1,3.8,2025-10-10,Good
Red Velvet,254.5 g,225.2 g,111.5,4.0,167.7,195.6 °C,38.3,15.8,17.1,12.4,Gas,Fondant,Local,179.1,46.8 %,6.3,6,3.6,2023-04-17,Average
Chocolate,239.6 g,217.4 g,146.1,,165.9,208.0 °C,42.7,10.6,15.6,10.1,Electric,Fondant,Local,358.4,57.9 %,9.6,4,5.0,2025-10-03,Excellent
Vanilla,262.0 g,181.3 g,179.4,4.0,162.6,208.4 °C,27.5,3.0,13.7,7.2,Electric,Buttercream,Local,279.3,42.5 %,8.9,5,4.2,2025-07-09,Good
Red Velvet,332.7 g,218.5 g,130.9,3.0,142.7,213.4 °C,39.8,12.6,20.1,19.4,Convection,Fondant,Local,297.3,51.6 %,7.2,11,3.3,2024-02-06,Good
Chocolate,252.4 g,205.5 g,203.5,4.0,209.6,212.3 °C,32.4,6.8,14.4,10.6,Electric,Ganache,Mixed,219.9,50.6 %,8.8,7,4.7,2024-06-21,Good
Butterscotch,255.5 g,210.2 g,149.5,3.0,181.6,216.0 °C,36.2,11.3,15.4,4.1,Convection,Ganache,Local,611.0,53.5 %,5.8,8,4.4,2025-01-14,Average
,284.7 g,,144.0,1.0,239.9,191.1 °C,20.1,5.8,15.1,19.9,Gas,Ganache,Imported,271.6,52.3 %,7.7,3,4.0,2025-02-18,Good
Vanilla,266.0 g,203.2 g,123.0,3.0,208.1,191.9 °C,43.4,6.6,19.6,15.8,Electric,Whipped Cream,Local,197.6,51.4 %,9.6,7,2.9,2025-07-11,Excellent
Strawberry,386.1 g,193.4 g,176.6,3.0,166.3,201.6 °C,27.0,9.8,11.3,7.6,Electric,Buttercream,Imported,226.9,47.0 %,6.3,3,4.5,2024-07-17,Average
White Forest,272.5 g,177.5 g,125.1,3.0,147.5,238.3 °C,37.5,11.2,14.6,10.5,Electric,Whipped Cream,Mixed,308.5,62.0 %,7.1,7,3.7,2025-09-21,Good
Butterscotch,290.0 g,189.8 g,128.8,5.0,258.0,202.0 °C,45.8,3.0,6.7,14.3,Gas,Buttercream,Imported,291.9,54.7 %,8.0,7,4.3,,Good
Chocolate Truffle,315.1 g,199.9 g,113.6,2.0,135.9,231.3 °C,52.7,7.2,15.4,12.6,Electric,Fondant,Mixed,235.0,61.8 %,8.2,10,2.3,2024-08-31,Good
Red Velvet,314.3 g,,158.3,3.0,167.9,226.7 °C,41.2,12.6,19.5,14.8,Electric,Fondant,Local,285.5,57.2 %,6.7,6,3.7,2023-08-06,Average
White Forest,286.2 g,200.6 g,150.6,4.0,168.4,226.8 °C,39.5,7.6,20.1,10.6,Electric,Buttercream,Mixed,258.9,56.9 %,8.8,6,3.6,2024-01-28,Good
Strawberry,272.6 g,218.4 g,138.4,4.0,159.6,225.1 °C,41.9,6.7,17.4,8.0,Gas,Ganache,Imported,345.8,49.1 %,7.9,5,4.4,2023-10-23,Good
Strawberry,372.9 g,215.8 g,154.3,3.0,154.4,184.9 °C,31.1,8.8,17.8,10.7,Electric,Buttercream,Imported,324.8,47.1 %,5.0,6,2.9,2025-06-21,Average
Chocolate,274.6 g,194.2 g,152.0,2.0,145.7,183.3 °C,35.0,14.8,17.2,4.7,Gas,Ganache,Imported,473.5,56.1 %,10.0,6,3.2,2023-01-04,Excellent
Chocolate,263.8 g,180.7 g,131.9,4.0,157.5,186.0 °C,41.9,12.6,20.2,8.7,Electric,Fondant,Mixed,242.4,58.0 %,7.8,10,4.3,2023-10-19,Good
,257.9 g,203.7 g,125.7,5.0,176.7,218.7 °C,33.3,11.1,24.0,10.2,Convection,Whipped Cream,Imported,186.1,48.9 %,7.7,7,4.7,2024-02-22,Good
Vanilla,232.0 g,264.2 g,115.1,2.0,188.5,194.0 °C,20.0,9.5,14.4,12.0,Electric,Whipped Cream,Local,237.7,53.5 %,6.2,8,4.1,2025-07-04,Average
Chocolate,309.7 g,202.3 g,135.0,2.0,162.8,189.4 °C,44.9,12.1,10.7,18.6,Electric,Fondant,Local,746.0,55.8 %,7.6,7,5.0,2025-04-18,Good
White Forest,220.5 g,189.8 g,119.2,4.0,162.7,192.0 °C,40.7,12.2,11.2,5.1,Electric,Buttercream,Local,479.8,64.0 %,10.0,3,5.0,2025-05-08,Excellent
Chocolate,277.7 g,207.3 g,141.4,3.0,149.8,206.3 °C,25.8,8.1,10.5,17.9,Gas,Ganache,Imported,531.2,59.1 %,6.7,8,4.6,2025-01-14,Average
Strawberry,271.2 g,208.8 g,135.3,2.0,183.8,188.1 °C,25.7,7.6,18.1,12.2,Gas,Whipped Cream,Local,280.6,47.0 %,9.3,5,4.9,2025-05-23,Excellent
Strawberry,386.8 g,208.5 g,131.3,3.0,179.8,190.8 °C,37.6,9.3,24.6,0.0,Electric,Whipped Cream,Local,350.8,62.6 %,9.0,8,4.4,2024-10-03,Excellent
Butterscotch,229.9 g,230.9 g,162.4,3.0,191.1,193.6 °C,60.0,12.8,17.9,16.3,Electric,Ganache,Imported,220.3,54.3 %,8.1,10,2.3,2025-02-11,Good
Red Velvet,251.0 g,203.8 g,123.0,2.5,162.4,214.6 °C,35.5,12.6,12.3,9.5,Convection,Whipped Cream,Imported,230.3,52.6 %,7.9,9,3.5,2023-01-10,Good
Chocolate,273.4 g,229.4 g,113.9,2.0,152.9,176.8 °C,30.5,8.9,18.3,17.7,Electric,Buttercream,Local,273.8,48.8 %,6.6,1,3.6,2024-06-03,Average
,271.4 g,200.3 g,134.2,2.0,177.7,198.4 °C,20.5,7.8,14.1,7.0,Electric,Whipped Cream,Local,445.5,56.5 %,6.0,13,4.9,2025-09-27,Average
Pineapple,260.7 g,235.6 g,126.3,2.0,196.2,192.9 °C,37.9,12.5,20.7,8.1,Gas,Buttercream,Imported,471.1,57.2 %,9.4,5,3.9,2025-10-22,Excellent
Butterscotch,275.2 g,225.7 g,140.5,1.0,153.5,208.7 °C,40.4,9.1,14.7,13.9,Electric,Ganache,Imported,318.1,48.4 %,6.9,15,3.4,2023-02-05,Average
Red Velvet,242.2 g,,124.0,2.0,160.1,196.5 °C,32.2,13.1,16.4,1.6,Electric,Ganache,Imported,347.9,51.5 %,7.4,13,3.9,2025-08-18,Good
Vanilla,290.8 g,213.8 g,146.8,4.0,145.7,185.3 °C,33.7,10.1,8.6,6.5,Electric,Whipped Cream,Mixed,322.0,49.1 %,7.0,8,4.6,2023-08-28,Good
Chocolate Truffle,220.9 g,266.7 g,123.2,2.0,146.8,243.4 °C,32.6,11.7,14.4,2.4,Gas,Buttercream,Mixed,293.7,50.3 %,7.9,3,3.8,2025-07-12,Good
Chocolate,277.1 g,221.8 g,123.1,3.0,162.2,228.2 °C,27.0,8.1,6.8,5.1,Electric,Buttercream,Local,279.7,52.5 %,8.4,8,4.2,2025-06-14,Good
Strawberry,259.2 g,180.7 g,151.2,3.0,154.6,202.3 °C,27.3,14.5,14.5,18.2,Electric,Whipped Cream,Imported,397.5,52.3 %,8.8,15,4.0,,Good
Vanilla,318.4 g,200.6 g,137.4,3.0,207.1,208.4 °C,20.0,6.7,12.1,5.1,Electric,Fondant,Mixed,250.4,59.8 %,9.8,11,4.3,2023-06-30,Excellent
Chocolate,356.7 g,190.4 g,120.6,4.0,179.2,187.5 °C,26.4,12.0,22.3,6.3,Gas,Ganache,Mixed,732.6,57.7 %,9.2,8,4.4,2024-12-11,Excellent
Vanilla,267.2 g,256.4 g,123.5,3.0,227.3,201.7 °C,38.1,7.2,18.6,0.0,Gas,Ganache,Mixed,294.2,50.1 %,8.3,5,3.7,2023-05-01,Good
Vanilla,336.8 g,227.1 g,131.8,2.0,227.7,258.0 °C,27.5,14.1,13.8,6.8,Electric,Whipped Cream,Local,209.8,51.4 %,5.7,7,4.2,2025-10-31,Average
Black Forest,267.6 g,,121.1,2.0,178.8,221.3 °C,38.4,6.2,15.1,0.0,Electric,Whipped Cream,Local,294.9,53.9 %,7.7,2,5.0,2024-05-04,Good
Butterscotch,249.3 g,182.0 g,133.2,3.0,130.4,183.6 °C,21.3,15.5,20.5,11.5,Gas,Ganache,Mixed,478.0,58.7 %,6.8,2,3.0,2024-03-13,Average
Vanilla,356.2 g,222.5 g,133.7,4.0,191.8,205.0 °C,38.0,15.4,7.0,13.9,Electric,Fondant,Imported,231.9,48.2 %,6.7,8,3.6,2025-05-04,Average
Pineapple,297.2 g,173.6 g,123.9,2.0,221.7,199.6 °C,30.1,12.7,15.9,12.2,Electric,Whipped Cream,Imported,365.5,54.4 %,6.7,8,4.2,2024-06-08,Average
Chocolate,278.1 g,170.9 g,152.1,2.0,200.5,207.1 °C,,12.4,10.9,2.4,Electric,Ganache,Mixed,477.7,50.8 %,7.7,3,4.9,2025-04-07,Good
Strawberry,304.0 g,,122.6,3.0,190.0,233.8 °C,45.5,12.1,20.2,9.7,Convection,Ganache,Local,371.3,60.8 %,6.6,3,4.1,2025-06-21,Average
,287.7 g,235.6 g,168.3,2.0,170.7,185.4 °C,20.0,8.2,13.1,12.2,Electric,Buttercream,Imported,405.0,52.2 %,7.7,3,3.2,2023-09-26,Good
Chocolate Truffle,275.6 g,178.6 g,134.3,3.8,146.7,195.2 °C,39.4,8.6,15.4,8.1,Electric,Whipped Cream,Imported,374.2,56.0 %,6.7,8,4.6,2023-04-30,Average
White Forest,240.6 g,195.1 g,127.4,1.0,200.2,182.8 °C,41.3,11.4,17.7,3.5,Gas,Fondant,Mixed,290.5,57.9 %,8.9,5,3.7,2023-05-13,Good
Black Forest,269.1 g,225.1 g,149.4,3.0,172.3,201.8 °C,32.4,14.1,20.5,14.7,Electric,Fondant,Mixed,228.3,51.2 %,6.3,7,3.6,2023-01-01,Average
Pineapple,301.3 g,215.3 g,138.9,2.0,188.7,200.0 °C,,12.2,17.4,4.0,Electric,Ganache,Imported,387.2,51.2 %,8.6,10,5.0,2023-07-04,Good
Black Forest,273.8 g,262.9 g,154.8,3.0,161.2,241.6 °C,35.6,4.9,23.5,12.4,Gas,Whipped Cream,Imported,340.8,58.5 %,7.1,8,4.5,2025-01-16,Good
Butterscotch,313.3 g,195.5 g,112.6,3.0,265.5,186.1 °C,31.3,12.3,12.4,10.1,Convection,Fondant,Mixed,332.6,52.2 %,8.7,12,4.2,2023-08-12,Good
Black Forest,291.8 g,187.2 g,148.9,4.0,186.2,214.4 °C,43.3,8.5,15.7,17.4,Gas,Fondant,Local,483.1,55.9 %,10.0,7,3.6,2025-09-29,Excellent
Chocolate Truffle,251.6 g,177.2 g,129.5,3.0,166.9,167.8 °C,42.0,12.1,15.1,21.5,Gas,Buttercream,Imported,240.5,45.3 %,7.7,15,4.4,2023-07-18,Good
Red Velvet,240.8 g,188.5 g,138.9,2.0,147.6,237.7 °C,35.0,8.2,7.8,7.2,Electric,Fondant,Local,276.4,48.8 %,6.8,7,2.5,2023-10-09,Average
Chocolate,272.7 g,177.0 g,136.6,1.0,141.9,198.7 °C,26.4,12.8,12.7,4.1,Electric,Ganache,Local,337.7,50.8 %,8.5,6,3.6,2024-08-26,Good
Red Velvet,261.4 g,168.6 g,171.5,4.0,200.0,200.5 °C,34.0,12.2,15.6,10.7,Gas,Fondant,Local,475.3,59.2 %,6.0,14,3.9,2025-08-11,Average
Chocolate,290.0 g,252.3 g,113.8,3.0,161.3,194.8 °C,36.2,9.8,5.0,10.2,Electric,Whipped Cream,Local,465.9,64.2 %,8.1,7,4.4,2024-10-12,Good
Strawberry,255.9 g,196.5 g,180.5,2.0,164.9,206.2 °C,33.9,6.7,10.2,13.1,Gas,Fondant,Mixed,377.5,52.8 %,6.0,1,5.0,2023-01-08,Average
,258.8 g,280.4 g,153.4,2.0,162.3,189.5 °C,33.1,13.8,15.1,6.2,Electric,Fondant,Local,378.7,52.1 %,8.9,5,4.0,2023-06-02,Good
Strawberry,320.2 g,180.8 g,141.1,2.0,148.6,200.6 °C,30.1,10.6,12.1,6.2,Electric,Fondant,Mixed,359.6,51.2 %,6.7,4,4.0,2023-06-11,Average
Chocolate,283.1 g,187.5 g,117.9,,169.4,,24.9,9.7,14.9,9.5,Electric,Fondant,Local,275.7,54.5 %,6.6,6,2.8,2024-07-05,Average
Chocolate,256.3 g,181.8 g,115.5,4.0,180.1,192.4 °C,33.1,10.6,23.0,11.5,Gas,Fondant,Local,334.4,56.8 %,7.4,6,3.8,2023-01-10,Good
Red Velvet,278.5 g,183.9 g,128.9,3.0,150.6,193.7 °C,36.1,6.4,13.1,4.3,Gas,Buttercream,Imported,195.2,50.9 %,6.8,4,3.3,2025-04-27,Average
Butterscotch,336.2 g,216.0 g,151.7,3.8,189.4,194.0 °C,35.6,12.0,14.0,9.4,Electric,Buttercream,Imported,206.7,49.3 %,5.9,2,4.0,2025-01-06,Average
Vanilla,288.4 g,208.1 g,138.1,3.0,145.7,215.4 °C,34.6,9.1,11.3,9.6,Electric,Buttercream,Imported,712.5,53.8 %,8.3,5,4.1,2023-01-29,Good
Red Velvet,300.1 g,216.1 g,150.3,3.0,165.1,195.9 °C,20.0,10.1,22.3,13.3,Electric,Ganache,Imported,324.6,51.2 %,8.2,6,4.8,2024-10-29,Good
Black Forest,255.0 g,230.0 g,117.6,2.0,190.6,191.6 °C,28.6,10.7,13.3,9.6,Gas,Fondant,Local,506.4,49.7 %,8.2,9,5.0,2023-09-26,Good
Strawberry,318.9 g,222.7 g,139.1,3.0,177.9,201.2 °C,44.5,4.9,18.4,15.8,Electric,Whipped Cream,Mixed,203.6,52.4 %,10.0,8,3.6,2023-05-15,Excellent
Vanilla,392.1 g,178.4 g,163.8,3.0,137.0,217.6 °C,40.6,4.0,13.5,13.3,Electric,Whipped Cream,Imported,311.5,44.9 %,8.3,4,3.7,2024-01-29,Good
,253.9 g,185.8 g,174.9,,118.2,180.7 °C,33.7,5.0,15.6,1.1,Convection,Buttercream,Imported,410.6,52.4 %,7.6,7,3.8,2025-04-06,Good
Chocolate,244.0 g,198.0 g,119.8,1.0,198.0,211.3 °C,35.6,7.7,18.5,8.8,Electric,Fondant,Local,213.0,65.8 %,6.9,2,4.5,2023-07-12,Average
Butterscotch,284.1 g,350.0 g,132.1,2.0,202.7,204.1 °C,26.1,9.3,11.3,15.8,Gas,Buttercream,Mixed,215.4,57.9 %,8.0,6,2.4,2025-04-17,Good
Chocolate,312.1 g,213.3 g,132.3,2.0,193.2,204.9 °C,26.4,5.0,15.3,5.3,Electric,Whipped Cream,Local,227.8,53.7 %,7.1,8,3.1,2025-05-19,Good
Vanilla,274.9 g,197.7 g,127.9,3.0,171.3,198.6 °C,29.4,5.9,14.9,11.3,Gas,Buttercream,Local,499.0,56.7 %,7.6,7,4.6,,Good
Chocolate,247.1 g,210.8 g,158.6,3.0,170.7,198.8 °C,32.5,10.3,12.1,11.9,Gas,Fondant,Imported,254.6,49.5 %,6.0,7,4.1,2024-08-16,Average
Chocolate,274.3 g,184.5 g,238.5,3.0,174.9,210.5 °C,30.7,6.5,15.3,10.7,Electric,Buttercream,Mixed,338.2,42.8 %,8.7,3,4.2,2023-10-21,Good
White Forest,300.3 g,201.0 g,121.5,3.0,198.7,177.9 °C,36.1,8.0,23.2,8.1,Gas,Whipped Cream,Mixed,280.2,51.4 %,7.5,4,3.9,2023-06-05,Good
Chocolate,264.9 g,218.3 g,146.8,3.0,174.1,186.7 °C,35.4,13.5,,10.2,Electric,Ganache,Mixed,229.3,51.8 %,7.6,8,4.3,2024-09-07,Good
Chocolate,300.6 g,194.9 g,144.1,2.0,190.9,176.5 °C,36.7,11.0,12.2,7.2,Electric,Whipped Cream,Imported,253.3,55.4 %,7.8,4,3.6,2023-02-22,Good
Red Velvet,325.5 g,182.1 g,144.5,4.0,229.6,234.6 °C,20.0,5.1,18.1,6.4,Electric,Whipped Cream,Local,249.6,42.8 %,9.2,7,4.1,2023-03-28,Excellent
,286.4 g,193.9 g,171.0,3.0,151.6,221.7 °C,55.5,10.3,17.8,14.6,Gas,Buttercream,Local,272.7,55.3 %,6.9,7,4.5,2024-05-30,Average
Chocolate,277.0 g,189.4 g,145.7,3.0,172.5,171.7 °C,37.3,11.2,11.2,8.5,Gas,Fondant,Local,302.1,77.9 %,9.1,15,3.5,2024-11-02,Excellent
Pineapple,310.0 g,173.7 g,111.5,3.0,154.2,204.3 °C,32.1,12.8,15.0,21.8,Gas,Buttercream,Local,332.8,54.2 %,8.0,7,3.2,2025-08-23,Good
White Forest,252.2 g,185.0 g,117.9,3.0,166.5,194.9 °C,31.8,11.8,14.7,2.7,Electric,Buttercream,Imported,199.2,68.1 %,6.9,1,5.0,2024-04-27,Average
Chocolate Truffle,249.6 g,173.3 g,122.0,,175.1,208.4 °C,35.0,11.5,13.4,10.6,Electric,Fondant,Mixed,392.8,54.6 %,8.1,13,3.1,2024-12-15,Good
Pineapple,269.2 g,175.3 g,126.2,1.0,153.7,,31.2,10.2,19.9,5.9,Electric,Ganache,Local,229.3,49.9 %,8.9,11,4.0,2024-07-18,Good
Black Forest,262.3 g,176.5 g,135.7,4.0,137.4,196.1 °C,28.8,11.4,9.5,13.9,Electric,Ganache,Local,228.3,51.6 %,6.6,3,5.0,2025-08-03,Average
Chocolate,253.6 g,218.3 g,134.4,3.0,143.9,197.3 °C,34.3,12.8,7.6,4.3,Electric,Buttercream,Local,319.0,56.8 %,7.0,--,4.2,2024-03-04,Good
White Forest,361.1 g,234.8 g,114.1,3.0,193.4,216.6 °C,41.8,9.6,20.0,15.6,Electric,Fondant,Local,343.6,61.9 %,7.7,11,3.6,2023-10-08,Good
Pineapple,382.3 g,171.5 g,116.1,2.0,159.0,189.5 °C,34.3,7.8,11.8,13.7,Electric,Buttercream,Local,346.3,59.8 %,9.6,2,3.8,2023-04-21,Excellent
Pineapple,266.5 g,237.9 g,111.6,3.0,171.6,192.5 °C,36.4,9.6,20.5,4.7,Gas,Fondant,Mixed,305.9,49.5 %,7.5,4,3.7,2024-11-05,Good
Red Velvet,281.1 g,176.7 g,116.7,1.0,179.9,209.4 °C,42.9,8.8,13.1,8.2,Electric,Whipped Cream,Mixed,190.9,59.8 %,10.0,1,4.0,2025-04-24,Excellent
Chocolate,271.7 g,212.7 g,160.9,2.0,211.5,213.4 °C,41.5,9.6,12.6,12.2,Electric,Ganache,Imported,299.1,48.2 %,6.9,11,3.5,2024-10-20,Average
Pineapple,322.7 g,200.9 g,133.4,3.0,169.6,203.1 °C,48.6,4.1,18.7,14.8,Gas,Fondant,Local,263.7,58.8 %,7.1,,4.7,2024-08-24,Good
White Forest,332.4 g,209.8 g,123.5,5.0,186.4,191.1 °C,22.8,13.1,18.5,13.0,Electric,Buttercream,Local,181.0,57.0 %,8.1,11,3.9,2023-02-04,Good
Butterscotch,231.0 g,176.2 g,113.3,4.0,147.7,176.6 °C,27.7,10.7,13.8,8.9,Electric,Ganache,Imported,234.9,57.6 %,8.3,3,3.1,2024-09-06,Good
Chocolate,295.4 g,168.5 g,122.7,2.5,173.3,177.1 °C,28.1,13.4,19.4,20.5,Gas,Buttercream,Local,397.6,51.2 %,9.2,7,4.3,2024-08-03,Excellent
Chocolate,241.1 g,181.4 g,151.0,4.0,151.3,195.1 °C,21.0,7.0,13.8,16.0,Electric,Buttercream,Local,273.9,46.1 %,7.5,10,3.5,2024-03-01,Good
Chocolate,356.9 g,204.7 g,148.0,3.0,173.9,201.0 °C,28.8,11.5,18.6,5.2,Electric,Whipped Cream,Local,417.2,48.7 %,6.0,1,4.7,2023-04-26,Average
Pineapple,294.0 g,252.0 g,133.7,3.0,182.4,192.9 °C,40.3,9.4,15.2,10.2,Electric,Buttercream,Mixed,277.5,48.5 %,8.1,10,4.3,2024-03-14,Good
Chocolate,253.0 g,,133.5,2.0,171.1,183.6 °C,46.0,10.4,,20.3,Gas,Ganache,Imported,294.8,43.8 %,9.8,9,3.9,2023-01-15,Excellent
,270.0 g,193.5 g,114.6,2.0,165.6,181.8 °C,38.1,11.8,15.9,12.0,Gas,Fondant,Local,460.1,50.2 %,8.9,5,3.0,2024-04-29,Good
Butterscotch,268.5 g,182.2 g,125.8,2.0,187.2,200.9 °C,50.1,12.5,9.5,10.2,Convection,Buttercream,Mixed,346.0,57.6 %,9.0,4,3.8,2023-07-12,Excellent
Chocolate,297.3 g,195.1 g,149.8,3.0,166.2,223.9 °C,28.4,8.5,13.8,8.0,Gas,Ganache,Local,313.7,50.3 %,9.6,4,3.8,2024-04-05,Excellent
Pineapple,319.6 g,167.2 g,127.2,3.0,165.9,187.5 °C,41.3,8.5,12.7,4.5,Electric,Fondant,Local,315.9,49.2 %,7.5,12,3.3,2024-07-16,Good
Vanilla,244.8 g,235.1 g,180.8,,149.6,197.9 °C,40.3,11.0,20.7,9.6,Convection,Whipped Cream,Local,256.7,55.2 %,6.7,5,4.6,2025-09-26,Average
Pineapple,361.6 g,196.0 g,167.1,3.0,195.7,188.0 °C,36.5,3.0,10.4,9.3,Electric,Whipped Cream,Mixed,417.8,53.1 %,8.2,5,4.0,2024-06-11,Good
Strawberry,348.3 g,217.2 g,130.5,2.0,177.0,208.6 °C,34.2,12.4,16.4,2.5,Gas,Buttercream,Local,378.9,52.0 %,7.2,2,3.9,2024-10-27,Good
Chocolate Truffle,251.7 g,191.0 g,133.5,1.0,164.1,,32.8,10.9,11.0,5.7,Electric,Whipped Cream,Local,497.5,45.0 %,5.6,10,3.0,2024-09-04,Average
Chocolate Truffle,280.4 g,199.4 g,205.0,3.8,149.9,216.0 °C,41.6,10.6,9.8,14.8,Electric,Fondant,Mixed,326.2,57.9 %,8.4,9,4.1,2025-08-25,Good
Chocolate,354.2 g,223.3 g,157.0,5.0,286.1,200.2 °C,38.8,10.6,18.7,4.1,Electric,Buttercream,Imported,330.6,51.6 %,9.3,8,4.3,2023-10-14,Excellent
Chocolate,328.8 g,198.2 g,139.5,2.0,115.1,200.2 °C,37.7,4.9,16.0,9.0,Electric,Fondant,Mixed,336.3,49.0 %,9.6,3,4.0,2024-05-16,Excellent
Vanilla,267.0 g,198.9 g,141.8,3.0,156.7,186.1 °C,39.3,9.3,13.4,12.3,Electric,Fondant,Imported,216.7,60.0 %,7.0,5,3.2,2024-04-16,Good
Black Forest,309.4 g,181.5 g,141.1,2.0,164.0,186.3 °C,34.5,10.7,13.5,12.6,Gas,Fondant,Local,337.5,62.2 %,7.8,--,4.3,2025-02-21,Good
Chocolate Truffle,443.6 g,185.7 g,137.9,2.0,212.0,206.0 °C,41.3,10.6,15.3,17.8,Gas,Fondant,Mixed,186.4,50.0 %,7.1,9,3.2,2023-02-05,Good
Red Velvet,281.6 g,178.3 g,122.0,3.0,168.7,202.0 °C,29.5,16.4,18.7,8.4,Electric,Whipped Cream,Local,273.3,58.1 %,5.4,1,4.5,2023-06-15,Average
Strawberry,258.3 g,182.4 g,131.3,4.0,184.2,239.8 °C,35.9,8.6,9.3,10.1,Electric,Ganache,Mixed,376.0,57.4 %,7.9,5,5.0,2023-12-20,Good
Chocolate,284.0 g,227.1 g,117.9,3.0,165.1,183.1 °C,34.7,11.3,17.7,18.7,Electric,Fondant,Mixed,278.3,56.7 %,8.5,2,4.4,2023-04-16,Good
Pineapple,286.7 g,246.3 g,153.9,1.0,256.7,216.1 °C,33.4,5.6,18.5,6.8,Gas,Buttercream,Imported,206.6,61.2 %,6.8,1,3.3,2025-06-06,Average
Butterscotch,261.4 g,175.1 g,135.8,3.0,191.6,200.4 °C,35.6,6.9,20.2,9.9,Electric,Ganache,Local,315.1,46.9 %,7.5,6,3.3,2023-02-20,Good
Vanilla,294.0 g,204.0 g,155.2,3.0,159.5,184.6 °C,30.3,14.3,14.1,10.6,Electric,Ganache,Local,393.9,45.5 %,7.9,11,4.9,2023-06-14,Good
Red Velvet,242.3 g,189.4 g,119.6,4.0,203.2,167.4 °C,55.6,8.9,11.9,9.3,Electric,Fondant,Local,238.9,50.1 %,8.4,1,3.5,2025-04-07,Good
Chocolate,257.4 g,231.7 g,173.9,3.0,170.7,189.0 °C,44.4,10.3,19.6,15.0,Convection,Whipped Cream,Local,324.7,42.4 %,6.3,5,4.1,2025-10-31,Average
,307.0 g,198.2 g,169.9,4.0,255.7,190.7 °C,44.4,10.8,20.1,0.0,Gas,Ganache,Imported,261.5,53.0 %,7.4,3,3.5,2025-09-23,Good
Red Velvet,231.4 g,195.3 g,116.5,2.0,231.3,190.7 °C,40.1,14.3,10.1,7.6,Gas,Fondant,Local,423.5,45.9 %,7.0,3,4.9,2023-02-14,Good
Chocolate,313.3 g,182.3 g,129.7,4.0,188.1,214.3 °C,42.7,9.8,21.5,13.6,Electric,Fondant,Imported,759.6,44.8 %,7.9,8,2.5,2024-06-07,Good
Red Velvet,226.4 g,171.6 g,131.4,3.0,171.0,191.4 °C,42.6,8.1,11.6,5.5,Gas,Buttercream,Local,256.2,51.1 %,5.7,3,3.8,2025-02-26,Average
Vanilla,231.9 g,213.0 g,117.8,,159.9,202.8 °C,32.9,7.8,19.8,6.0,Electric,Whipped Cream,Imported,201.5,61.2 %,8.2,3,3.9,2024-01-31,Good
Red Velvet,262.1 g,203.0 g,133.6,2.0,210.4,179.6 °C,32.8,10.5,16.3,8.0,Electric,Whipped Cream,Mixed,320.8,46.4 %,6.6,4,4.5,2024-02-01,Average
